minecraft:stone,stone,1
minecraft:andesite_wall,andesite_wall,null
minecraft:angler_pottery_sherd,angler_pottery_sherd,null
minecraft:archer_pottery_sherd,archer_pottery_sherd,null
minecraft:armadillo_scute,armadillo_scute,null
minecraft:armadillo_spawn_egg,armadillo_spawn_egg,null
minecraft:arms_up_pottery_sherd,arms_up_pottery_sherd,null
minecraft:axolotl_bucket,axolotl_bucket,null
minecraft:axolotl_spawn_egg,axolotl_spawn_egg,null
minecraft:azalea,azalea,null
minecraft:azalea_leaves,azalea_leaves,null
minecraft:bamboo_button,bamboo_button,null
minecraft:bamboo_chest_raft,bamboo_chest_raft,null
minecraft:bamboo_door,bamboo_door,null
minecraft:bamboo_fence,bamboo_fence,null
minecraft:bamboo_fence_gate,bamboo_fence_gate,null
minecraft:bamboo_hanging_sign,bamboo_hanging_sign,null
minecraft:bamboo_mosaic,bamboo_mosaic,null
minecraft:bamboo_mosaic_slab,bamboo_mosaic_slab,null
minecraft:bamboo_mosaic_stairs,bamboo_mosaic_stairs,null
minecraft:bamboo_planks,bamboo_planks,null
minecraft:bamboo_pressure_plate,bamboo_pressure_plate,null
minecraft:bamboo_raft,bamboo_raft,null
minecraft:bamboo_sign,bamboo_sign,null
minecraft:bamboo_slab,bamboo_slab,null
minecraft:bamboo_stairs,bamboo_stairs,null
minecraft:bamboo_trapdoor,bamboo_trapdoor,null
minecraft:barrel,barrel,null
minecraft:basalt,basalt,null
minecraft:bee_nest,bee_nest,null
minecraft:bee_spawn_egg,bee_spawn_egg,null
minecraft:beehive,beehive,null
minecraft:bell,bell,null
minecraft:big_dripleaf,big_dripleaf,null
minecraft:birch_button,birch_button,null
minecraft:birch_chest_boat,birch_chest_boat,null
minecraft:birch_hanging_sign,birch_hanging_sign,null
minecraft:birch_pressure_plate,birch_pressure_plate,null
minecraft:birch_sign,birch_sign,null
minecraft:birch_trapdoor,birch_trapdoor,null
minecraft:black_bundle,black_bundle,null
minecraft:black_candle,black_candle,null
minecraft:black_glazed_terracotta,black_glazed_terracotta,null
minecraft:blackstone,blackstone,null
minecraft:blackstone_slab,blackstone_slab,null
minecraft:blackstone_stairs,blackstone_stairs,null
minecraft:blackstone_wall,blackstone_wall,null
minecraft:blade_pottery_sherd,blade_pottery_sherd,null
minecraft:blast_furnace,blast_furnace,null
minecraft:blue_bundle,blue_bundle,null
minecraft:blue_candle,blue_candle,null
minecraft:blue_egg,blue_egg,null
minecraft:blue_glazed_terracotta,blue_glazed_terracotta,null
minecraft:blue_ice,blue_ice,null
minecraft:bogged_spawn_egg,bogged_spawn_egg,null
minecraft:bolt_armor_trim_smithing_template,bolt_armor_trim_smithing_template,null
minecraft:bordure_indented_banner_pattern,bordure_indented_banner_pattern,null
minecraft:brain_coral,brain_coral,null
minecraft:brain_coral_block,brain_coral_block,null
minecraft:brain_coral_fan,brain_coral_fan,null
minecraft:breeze_rod,breeze_rod,null
minecraft:breeze_spawn_egg,breeze_spawn_egg,null
minecraft:brewer_pottery_sherd,brewer_pottery_sherd,null
minecraft:brick_wall,brick_wall,null
minecraft:brown_bundle,brown_bundle,null
minecraft:brown_candle,brown_candle,null
minecraft:brown_egg,brown_egg,null
minecraft:brown_glazed_terracotta,brown_glazed_terracotta,null
minecraft:brown_mushroom_block,brown_mushroom_block,null
minecraft:brush,brush,null
minecraft:bubble_coral,bubble_coral,null
minecraft:bubble_coral_block,bubble_coral_block,null
minecraft:bubble_coral_fan,bubble_coral_fan,null
minecraft:budding_amethyst,budding_amethyst,null
minecraft:bundle,bundle,null
minecraft:burn_pottery_sherd,burn_pottery_sherd,null
minecraft:cactus_flower,cactus_flower,null
minecraft:calcite,calcite,null
minecraft:calibrated_sculk_sensor,calibrated_sculk_sensor,null
minecraft:camel_spawn_egg,camel_spawn_egg,null
minecraft:campfire,campfire,null
minecraft:candle,candle,null
minecraft:cartography_table,cartography_table,null
minecraft:carved_pumpkin,carved_pumpkin,null
minecraft:cat_spawn_egg,cat_spawn_egg,null
minecraft:chain,chain,null
minecraft:cherry_boat,cherry_boat,null
minecraft:cherry_button,cherry_button,null
minecraft:cherry_chest_boat,cherry_chest_boat,null
minecraft:cherry_door,cherry_door,null
minecraft:cherry_fence,cherry_fence,null
minecraft:cherry_fence_gate,cherry_fence_gate,null
minecraft:cherry_hanging_sign,cherry_hanging_sign,null
minecraft:cherry_leaves,cherry_leaves,null
minecraft:cherry_log,cherry_log,null
minecraft:cherry_planks,cherry_planks,null
minecraft:cherry_pressure_plate,cherry_pressure_plate,null
minecraft:cherry_sapling,cherry_sapling,null
minecraft:cherry_sign,cherry_sign,null
minecraft:cherry_slab,cherry_slab,null
minecraft:cherry_stairs,cherry_stairs,null
minecraft:cherry_trapdoor,cherry_trapdoor,null
minecraft:cherry_wood,cherry_wood,null
minecraft:chipped_anvil,chipped_anvil,null
minecraft:chiseled_bookshelf,chiseled_bookshelf,null
minecraft:chiseled_copper,chiseled_copper,null
minecraft:chiseled_deepslate,chiseled_deepslate,null
minecraft:chiseled_nether_bricks,chiseled_nether_bricks,null
minecraft:chiseled_polished_blackstone,chiseled_polished_blackstone,null
minecraft:chiseled_resin_bricks,chiseled_resin_bricks,null
minecraft:chiseled_stone_bricks,chiseled_stone_bricks,null
minecraft:chiseled_tuff,chiseled_tuff,null
minecraft:chiseled_tuff_bricks,chiseled_tuff_bricks,null
minecraft:closed_eyeblossom,closed_eyeblossom,null
minecraft:coast_armor_trim_smithing_template,coast_armor_trim_smithing_template,null
minecraft:cobbled_deepslate,cobbled_deepslate,null
minecraft:cobbled_deepslate_slab,cobbled_deepslate_slab,null
minecraft:cobbled_deepslate_stairs,cobbled_deepslate_stairs,null
minecraft:cobbled_deepslate_wall,cobbled_deepslate_wall,null
minecraft:cod_bucket,cod_bucket,null
minecraft:cod_spawn_egg,cod_spawn_egg,null
minecraft:composter,composter,null
minecraft:conduit,conduit,null
minecraft:copper_block,copper_block,null
minecraft:copper_bulb,copper_bulb,null
minecraft:copper_door,copper_door,null
minecraft:copper_grate,copper_grate,null
minecraft:copper_ingot,copper_ingot,null
minecraft:copper_ore,copper_ore,null
minecraft:copper_trapdoor,copper_trapdoor,null
minecraft:cornflower,cornflower,null
minecraft:cracked_deepslate_bricks,cracked_deepslate_bricks,null
minecraft:cracked_deepslate_tiles,cracked_deepslate_tiles,null
minecraft:cracked_nether_bricks,cracked_nether_bricks,null
minecraft:cracked_polished_blackstone_bricks,cracked_polished_blackstone_bricks,null
minecraft:crafter,crafter,null
minecraft:creaking_heart,creaking_heart,null
minecraft:creaking_spawn_egg,creaking_spawn_egg,null
minecraft:creeper_banner_pattern,creeper_banner_pattern,null
minecraft:crimson_button,crimson_button,null
minecraft:crimson_door,crimson_door,null
minecraft:crimson_fence,crimson_fence,null
minecraft:crimson_fence_gate,crimson_fence_gate,null
minecraft:crimson_fungus,crimson_fungus,null
minecraft:crimson_hanging_sign,crimson_hanging_sign,null
minecraft:crimson_hyphae,crimson_hyphae,null
minecraft:crimson_nylium,crimson_nylium,null
minecraft:crimson_planks,crimson_planks,null
minecraft:crimson_pressure_plate,crimson_pressure_plate,null
minecraft:crimson_roots,crimson_roots,null
minecraft:crimson_sign,crimson_sign,null
minecraft:crimson_slab,crimson_slab,null
minecraft:crimson_stairs,crimson_stairs,null
minecraft:crimson_stem,crimson_stem,null
minecraft:crimson_trapdoor,crimson_trapdoor,null
minecraft:crossbow,crossbow,null
minecraft:crying_obsidian,crying_obsidian,null
minecraft:cut_copper,cut_copper,null
minecraft:cut_copper_slab,cut_copper_slab,null
minecraft:cut_copper_stairs,cut_copper_stairs,null
minecraft:cut_red_sandstone,cut_red_sandstone,null
minecraft:cut_red_sandstone_slab,cut_red_sandstone_slab,null
minecraft:cut_sandstone,cut_sandstone,null
minecraft:cut_sandstone_slab,cut_sandstone_slab,null
minecraft:cyan_bundle,cyan_bundle,null
minecraft:cyan_candle,cyan_candle,null
minecraft:cyan_glazed_terracotta,cyan_glazed_terracotta,null
minecraft:danger_pottery_sherd,danger_pottery_sherd,null
minecraft:dark_oak_button,dark_oak_button,null
minecraft:dark_oak_chest_boat,dark_oak_chest_boat,null
minecraft:dark_oak_hanging_sign,dark_oak_hanging_sign,null
minecraft:dark_oak_planks,dark_oak_planks,null
minecraft:dark_oak_pressure_plate,dark_oak_pressure_plate,null
minecraft:dark_oak_sign,dark_oak_sign,null
minecraft:dark_oak_trapdoor,dark_oak_trapdoor,null
minecraft:dark_prismarine_slab,dark_prismarine_slab,null
minecraft:dark_prismarine_stairs,dark_prismarine_stairs,null
minecraft:daylight_detector,daylight_detector,null
minecraft:dead_brain_coral,dead_brain_coral,null
minecraft:dead_brain_coral_block,dead_brain_coral_block,null
minecraft:dead_brain_coral_fan,dead_brain_coral_fan,null
minecraft:dead_bubble_coral,dead_bubble_coral,null
minecraft:dead_bubble_coral_block,dead_bubble_coral_block,null
minecraft:dead_bubble_coral_fan,dead_bubble_coral_fan,null
minecraft:dead_fire_coral,dead_fire_coral,null
minecraft:dead_fire_coral_block,dead_fire_coral_block,null
minecraft:dead_fire_coral_fan,dead_fire_coral_fan,null
minecraft:dead_horn_coral,dead_horn_coral,null
minecraft:dead_horn_coral_block,dead_horn_coral_block,null
minecraft:dead_horn_coral_fan,dead_horn_coral_fan,null
minecraft:dead_tube_coral,dead_tube_coral,null
minecraft:dead_tube_coral_block,dead_tube_coral_block,null
minecraft:dead_tube_coral_fan,dead_tube_coral_fan,null
minecraft:debug_stick,debug_stick,null
minecraft:decorated_pot,decorated_pot,null
minecraft:deepslate,deepslate,null
minecraft:deepslate_brick_slab,deepslate_brick_slab,null
minecraft:deepslate_brick_stairs,deepslate_brick_stairs,null
minecraft:deepslate_brick_wall,deepslate_brick_wall,null
minecraft:deepslate_bricks,deepslate_bricks,null
minecraft:deepslate_coal_ore,deepslate_coal_ore,null
minecraft:deepslate_copper_ore,deepslate_copper_ore,null
minecraft:deepslate_diamond_ore,deepslate_diamond_ore,null
minecraft:deepslate_emerald_ore,deepslate_emerald_ore,null
minecraft:deepslate_gold_ore,deepslate_gold_ore,null
minecraft:deepslate_iron_ore,deepslate_iron_ore,null
minecraft:deepslate_lapis_ore,deepslate_lapis_ore,null
minecraft:deepslate_redstone_ore,deepslate_redstone_ore,null
minecraft:deepslate_tile_slab,deepslate_tile_slab,null
minecraft:deepslate_tile_stairs,deepslate_tile_stairs,null
minecraft:deepslate_tile_wall,deepslate_tile_wall,null
minecraft:deepslate_tiles,deepslate_tiles,null
minecraft:diorite_slab,diorite_slab,null
minecraft:diorite_stairs,diorite_stairs,null
minecraft:diorite_wall,diorite_wall,null
minecraft:disc_fragment_5,disc_fragment_5,null
minecraft:dolphin_spawn_egg,dolphin_spawn_egg,null
minecraft:donkey_spawn_egg,donkey_spawn_egg,null
minecraft:dried_kelp,dried_kelp,null
minecraft:dried_kelp_block,dried_kelp_block,null
minecraft:dripstone_block,dripstone_block,null
minecraft:drowned_spawn_egg,drowned_spawn_egg,null
minecraft:dune_armor_trim_smithing_template,dune_armor_trim_smithing_template,null
minecraft:echo_shard,echo_shard,null
minecraft:elder_guardian_spawn_egg,elder_guardian_spawn_egg,null
minecraft:end_stone_brick_slab,end_stone_brick_slab,null
minecraft:end_stone_brick_stairs,end_stone_brick_stairs,null
minecraft:end_stone_brick_wall,end_stone_brick_wall,null
minecraft:evoker_spawn_egg,evoker_spawn_egg,null
minecraft:explorer_pottery_sherd,explorer_pottery_sherd,null
minecraft:exposed_chiseled_copper,exposed_chiseled_copper,null
minecraft:exposed_copper,exposed_copper,null
minecraft:exposed_copper_bulb,exposed_copper_bulb,null
minecraft:exposed_copper_door,exposed_copper_door,null
minecraft:exposed_copper_grate,exposed_copper_grate,null
minecraft:exposed_copper_trapdoor,exposed_copper_trapdoor,null
minecraft:exposed_cut_copper,exposed_cut_copper,null
minecraft:exposed_cut_copper_slab,exposed_cut_copper_slab,null
minecraft:exposed_cut_copper_stairs,exposed_cut_copper_stairs,null
minecraft:eye_armor_trim_smithing_template,eye_armor_trim_smithing_template,null
minecraft:farmland,farmland,null
minecraft:field_masoned_banner_pattern,field_masoned_banner_pattern,null
minecraft:filled_map,filled_map,null
minecraft:fire_coral,fire_coral,null
minecraft:fire_coral_block,fire_coral_block,null
minecraft:fire_coral_fan,fire_coral_fan,null
minecraft:firefly_bush,firefly_bush,null
minecraft:fletching_table,fletching_table,null
minecraft:flow_armor_trim_smithing_template,flow_armor_trim_smithing_template,null
minecraft:flow_banner_pattern,flow_banner_pattern,null
minecraft:flow_pottery_sherd,flow_pottery_sherd,null
minecraft:flower_banner_pattern,flower_banner_pattern,null
minecraft:flowering_azalea,flowering_azalea,null
minecraft:flowering_azalea_leaves,flowering_azalea_leaves,null
minecraft:fox_spawn_egg,fox_spawn_egg,null
minecraft:friend_pottery_sherd,friend_pottery_sherd,null
minecraft:frog_spawn_egg,frog_spawn_egg,null
minecraft:frogspawn,frogspawn,null
minecraft:gilded_blackstone,gilded_blackstone,null
minecraft:glistering_melon_slice,glistering_melon_slice,null
minecraft:globe_banner_pattern,globe_banner_pattern,null
minecraft:glow_berries,glow_berries,null
minecraft:glow_ink_sac,glow_ink_sac,null
minecraft:glow_item_frame,glow_item_frame,null
minecraft:glow_lichen,glow_lichen,null
minecraft:glow_squid_spawn_egg,glow_squid_spawn_egg,null
minecraft:goat_horn,goat_horn,null
minecraft:goat_spawn_egg,goat_spawn_egg,null
minecraft:granite_slab,granite_slab,null
minecraft:granite_stairs,granite_stairs,null
minecraft:granite_wall,granite_wall,null
minecraft:gray_banner,gray_banner,null
minecraft:gray_bundle,gray_bundle,null
minecraft:gray_candle,gray_candle,null
minecraft:gray_glazed_terracotta,gray_glazed_terracotta,null
minecraft:green_bundle,green_bundle,null
minecraft:green_candle,green_candle,null
minecraft:green_glazed_terracotta,green_glazed_terracotta,null
minecraft:grindstone,grindstone,null
minecraft:guster_banner_pattern,guster_banner_pattern,null
minecraft:guster_pottery_sherd,guster_pottery_sherd,null
minecraft:hanging_roots,hanging_roots,null
minecraft:heart_of_the_sea,heart_of_the_sea,null
minecraft:heart_pottery_sherd,heart_pottery_sherd,null
minecraft:heartbreak_pottery_sherd,heartbreak_pottery_sherd,null
minecraft:heavy_core,heavy_core,null
minecraft:hoglin_spawn_egg,hoglin_spawn_egg,null
minecraft:honey_block,honey_block,null
minecraft:honey_bottle,honey_bottle,null
minecraft:honeycomb,honeycomb,null
minecraft:honeycomb_block,honeycomb_block,null
minecraft:horn_coral,horn_coral,null
minecraft:horn_coral_block,horn_coral_block,null
minecraft:horn_coral_fan,horn_coral_fan,null
minecraft:host_armor_trim_smithing_template,host_armor_trim_smithing_template,null
minecraft:howl_pottery_sherd,howl_pottery_sherd,null
minecraft:husk_spawn_egg,husk_spawn_egg,null
minecraft:infested_chiseled_stone_bricks,infested_chiseled_stone_bricks,null
minecraft:infested_cobblestone,infested_cobblestone,null
minecraft:infested_cracked_stone_bricks,infested_cracked_stone_bricks,null
minecraft:infested_deepslate,infested_deepslate,null
minecraft:infested_mossy_stone_bricks,infested_mossy_stone_bricks,null
minecraft:infested_stone,infested_stone,null
minecraft:infested_stone_bricks,infested_stone_bricks,null
minecraft:jigsaw,jigsaw,null
minecraft:jungle_button,jungle_button,null
minecraft:jungle_chest_boat,jungle_chest_boat,null
minecraft:jungle_hanging_sign,jungle_hanging_sign,null
minecraft:jungle_pressure_plate,jungle_pressure_plate,null
minecraft:jungle_sign,jungle_sign,null
minecraft:jungle_trapdoor,jungle_trapdoor,null
minecraft:kelp,kelp,null
minecraft:lapis_lazuli,lapis_lazuli,null
minecraft:large_amethyst_bud,large_amethyst_bud,null
minecraft:leaf_litter,leaf_litter,null
minecraft:leather_horse_armor,leather_horse_armor,null
minecraft:lectern,lectern,null
minecraft:light,light,null
minecraft:light_blue_bundle,light_blue_bundle,null
minecraft:light_blue_candle,light_blue_candle,null
minecraft:light_blue_glazed_terracotta,light_blue_glazed_terracotta,null
minecraft:light_gray_banner,light_gray_banner,null
minecraft:light_gray_bundle,light_gray_bundle,null
minecraft:light_gray_candle,light_gray_candle,null
minecraft:light_gray_glazed_terracotta,light_gray_glazed_terracotta,null
minecraft:lightning_rod,lightning_rod,null
minecraft:lily_of_the_valley,lily_of_the_valley,null
minecraft:lime_bundle,lime_bundle,null
minecraft:lime_candle,lime_candle,null
minecraft:lime_glazed_terracotta,lime_glazed_terracotta,null
minecraft:llama_spawn_egg,llama_spawn_egg,null
minecraft:lodestone,lodestone,null
minecraft:loom,loom,null
minecraft:mace,mace,null
minecraft:magenta_bundle,magenta_bundle,null
minecraft:magenta_candle,magenta_candle,null
minecraft:magenta_glazed_terracotta,magenta_glazed_terracotta,null
minecraft:mangrove_boat,mangrove_boat,null
minecraft:mangrove_button,mangrove_button,null
minecraft:mangrove_chest_boat,mangrove_chest_boat,null
minecraft:mangrove_door,mangrove_door,null
minecraft:mangrove_fence,mangrove_fence,null
minecraft:mangrove_fence_gate,mangrove_fence_gate,null
minecraft:mangrove_hanging_sign,mangrove_hanging_sign,null
minecraft:mangrove_leaves,mangrove_leaves,null
minecraft:mangrove_log,mangrove_log,null
minecraft:mangrove_planks,mangrove_planks,null
minecraft:mangrove_pressure_plate,mangrove_pressure_plate,null
minecraft:mangrove_propagule,mangrove_propagule,null
minecraft:mangrove_roots,mangrove_roots,null
minecraft:mangrove_sign,mangrove_sign,null
minecraft:mangrove_slab,mangrove_slab,null
minecraft:mangrove_stairs,mangrove_stairs,null
minecraft:mangrove_trapdoor,mangrove_trapdoor,null
minecraft:mangrove_wood,mangrove_wood,null
minecraft:medium_amethyst_bud,medium_amethyst_bud,null
minecraft:miner_pottery_sherd,miner_pottery_sherd,null
minecraft:mojang_banner_pattern,mojang_banner_pattern,null
minecraft:moss_block,moss_block,null
minecraft:moss_carpet,moss_carpet,null
minecraft:mossy_cobblestone_slab,mossy_cobblestone_slab,null
minecraft:mossy_cobblestone_stairs,mossy_cobblestone_stairs,null
minecraft:mossy_cobblestone_wall,mossy_cobblestone_wall,null
minecraft:mossy_stone_brick_slab,mossy_stone_brick_slab,null
minecraft:mossy_stone_brick_stairs,mossy_stone_brick_stairs,null
minecraft:mossy_stone_brick_wall,mossy_stone_brick_wall,null
minecraft:mourner_pottery_sherd,mourner_pottery_sherd,null
minecraft:mud_brick_slab,mud_brick_slab,null
minecraft:mud_brick_stairs,mud_brick_stairs,null
minecraft:mud_brick_wall,mud_brick_wall,null
minecraft:mud_bricks,mud_bricks,null
minecraft:muddy_mangrove_roots,muddy_mangrove_roots,null
minecraft:mule_spawn_egg,mule_spawn_egg,null
minecraft:mushroom_stem,mushroom_stem,null
minecraft:mushroom_stew,mushroom_stew,null
minecraft:music_disc_creator,music_disc_creator,null
minecraft:music_disc_creator_music_box,music_disc_creator_music_box,null
minecraft:music_disc_otherside,music_disc_otherside,null
minecraft:music_disc_pigstep,music_disc_pigstep,null
minecraft:music_disc_precipice,music_disc_precipice,null
minecraft:music_disc_relic,music_disc_relic,null
minecraft:nautilus_shell,nautilus_shell,null
minecraft:nether_brick_wall,nether_brick_wall,null
minecraft:nether_bricks,nether_bricks,null
minecraft:nether_gold_ore,nether_gold_ore,null
minecraft:nether_sprouts,nether_sprouts,null
minecraft:netherite_axe,netherite_axe,null
minecraft:netherite_block,netherite_block,null
minecraft:netherite_boots,netherite_boots,null
minecraft:netherite_chestplate,netherite_chestplate,null
minecraft:netherite_helmet,netherite_helmet,null
minecraft:netherite_hoe,netherite_hoe,null
minecraft:netherite_ingot,netherite_ingot,null
minecraft:netherite_leggings,netherite_leggings,null
minecraft:netherite_pickaxe,netherite_pickaxe,null
minecraft:netherite_scrap,netherite_scrap,null
minecraft:netherite_shovel,netherite_shovel,null
minecraft:netherite_sword,netherite_sword,null
minecraft:netherite_upgrade_smithing_template,netherite_upgrade_smithing_template,null
minecraft:oak_button,oak_button,null
minecraft:oak_chest_boat,oak_chest_boat,null
minecraft:oak_hanging_sign,oak_hanging_sign,null
minecraft:oak_sapling,oak_sapling,null
minecraft:oak_sign,oak_sign,null
minecraft:oak_trapdoor,oak_trapdoor,null
minecraft:ochre_froglight,ochre_froglight,null
minecraft:ominous_bottle,ominous_bottle,null
minecraft:ominous_trial_key,ominous_trial_key,null
minecraft:open_eyeblossom,open_eyeblossom,null
minecraft:orange_bundle,orange_bundle,null
minecraft:orange_candle,orange_candle,null
minecraft:orange_glazed_terracotta,orange_glazed_terracotta,null
minecraft:oxidized_chiseled_copper,oxidized_chiseled_copper,null
minecraft:oxidized_copper,oxidized_copper,null
minecraft:oxidized_copper_bulb,oxidized_copper_bulb,null
minecraft:oxidized_copper_door,oxidized_copper_door,null
minecraft:oxidized_copper_grate,oxidized_copper_grate,null
minecraft:oxidized_copper_trapdoor,oxidized_copper_trapdoor,null
minecraft:oxidized_cut_copper,oxidized_cut_copper,null
minecraft:oxidized_cut_copper_slab,oxidized_cut_copper_slab,null
minecraft:oxidized_cut_copper_stairs,oxidized_cut_copper_stairs,null
minecraft:packed_mud,packed_mud,null
minecraft:pale_hanging_moss,pale_hanging_moss,null
minecraft:pale_moss_block,pale_moss_block,null
minecraft:pale_moss_carpet,pale_moss_carpet,null
minecraft:pale_oak_boat,pale_oak_boat,null
minecraft:pale_oak_button,pale_oak_button,null
minecraft:pale_oak_chest_boat,pale_oak_chest_boat,null
minecraft:pale_oak_door,pale_oak_door,null
minecraft:pale_oak_fence,pale_oak_fence,null
minecraft:pale_oak_fence_gate,pale_oak_fence_gate,null
minecraft:pale_oak_hanging_sign,pale_oak_hanging_sign,null
minecraft:pale_oak_leaves,pale_oak_leaves,null
minecraft:pale_oak_log,pale_oak_log,null
minecraft:pale_oak_planks,pale_oak_planks,null
minecraft:pale_oak_pressure_plate,pale_oak_pressure_plate,null
minecraft:pale_oak_sapling,pale_oak_sapling,null
minecraft:pale_oak_sign,pale_oak_sign,null
minecraft:pale_oak_slab,pale_oak_slab,null
minecraft:pale_oak_stairs,pale_oak_stairs,null
minecraft:pale_oak_trapdoor,pale_oak_trapdoor,null
minecraft:pale_oak_wood,pale_oak_wood,null
minecraft:panda_spawn_egg,panda_spawn_egg,null
minecraft:parrot_spawn_egg,parrot_spawn_egg,null
minecraft:pearlescent_froglight,pearlescent_froglight,null
minecraft:petrified_oak_slab,petrified_oak_slab,null
minecraft:phantom_membrane,phantom_membrane,null
minecraft:phantom_spawn_egg,phantom_spawn_egg,null
minecraft:piglin_banner_pattern,piglin_banner_pattern,null
minecraft:piglin_brute_spawn_egg,piglin_brute_spawn_egg,null
minecraft:piglin_head,piglin_head,null
minecraft:piglin_spawn_egg,piglin_spawn_egg,null
minecraft:pillager_spawn_egg,pillager_spawn_egg,null
minecraft:pink_bundle,pink_bundle,null
minecraft:pink_candle,pink_candle,null
minecraft:pink_glazed_terracotta,pink_glazed_terracotta,null
minecraft:pink_petals,pink_petals,null
minecraft:pitcher_plant,pitcher_plant,null
minecraft:pitcher_pod,pitcher_pod,null
minecraft:plenty_pottery_sherd,plenty_pottery_sherd,null
minecraft:pointed_dripstone,pointed_dripstone,null
minecraft:polished_andesite_slab,polished_andesite_slab,null
minecraft:polished_andesite_stairs,polished_andesite_stairs,null
minecraft:polished_basalt,polished_basalt,null
minecraft:polished_blackstone,polished_blackstone,null
minecraft:polished_blackstone_brick_slab,polished_blackstone_brick_slab,null
minecraft:polished_blackstone_brick_stairs,polished_blackstone_brick_stairs,null
minecraft:polished_blackstone_brick_wall,polished_blackstone_brick_wall,null
minecraft:polished_blackstone_bricks,polished_blackstone_bricks,null
minecraft:polished_blackstone_button,polished_blackstone_button,null
minecraft:polished_blackstone_pressure_plate,polished_blackstone_pressure_plate,null
minecraft:polished_blackstone_slab,polished_blackstone_slab,null
minecraft:polished_blackstone_stairs,polished_blackstone_stairs,null
minecraft:polished_blackstone_wall,polished_blackstone_wall,null
minecraft:polished_deepslate,polished_deepslate,null
minecraft:polished_deepslate_slab,polished_deepslate_slab,null
minecraft:polished_deepslate_stairs,polished_deepslate_stairs,null
minecraft:polished_deepslate_wall,polished_deepslate_wall,null
minecraft:polished_diorite_slab,polished_diorite_slab,null
minecraft:polished_diorite_stairs,polished_diorite_stairs,null
minecraft:polished_granite_slab,polished_granite_slab,null
minecraft:polished_granite_stairs,polished_granite_stairs,null
minecraft:polished_tuff,polished_tuff,null
minecraft:polished_tuff_slab,polished_tuff_slab,null
minecraft:polished_tuff_stairs,polished_tuff_stairs,null
minecraft:polished_tuff_wall,polished_tuff_wall,null
minecraft:popped_chorus_fruit,popped_chorus_fruit,null
minecraft:powder_snow_bucket,powder_snow_bucket,null
minecraft:prismarine_brick_slab,prismarine_brick_slab,null
minecraft:prismarine_brick_stairs,prismarine_brick_stairs,null
minecraft:prismarine_bricks,prismarine_bricks,null
minecraft:prismarine_crystals,prismarine_crystals,null
minecraft:prismarine_slab,prismarine_slab,null
minecraft:prismarine_stairs,prismarine_stairs,null
minecraft:prismarine_wall,prismarine_wall,null
minecraft:prize_pottery_sherd,prize_pottery_sherd,null
minecraft:pufferfish_bucket,pufferfish_bucket,null
minecraft:pufferfish_spawn_egg,pufferfish_spawn_egg,null
minecraft:purple_bundle,purple_bundle,null
minecraft:purple_candle,purple_candle,null
minecraft:purple_glazed_terracotta,purple_glazed_terracotta,null
minecraft:quartz_bricks,quartz_bricks,null
minecraft:quartz_pillar,quartz_pillar,null
minecraft:raiser_armor_trim_smithing_template,raiser_armor_trim_smithing_template,null
minecraft:ravager_spawn_egg,ravager_spawn_egg,null
minecraft:raw_copper,raw_copper,null
minecraft:raw_copper_block,raw_copper_block,null
minecraft:raw_gold,raw_gold,null
minecraft:raw_gold_block,raw_gold_block,null
minecraft:raw_iron,raw_iron,null
minecraft:raw_iron_block,raw_iron_block,null
minecraft:recovery_compass,recovery_compass,null
minecraft:red_bundle,red_bundle,null
minecraft:red_candle,red_candle,null
minecraft:red_glazed_terracotta,red_glazed_terracotta,null
minecraft:red_mushroom_block,red_mushroom_block,null
minecraft:red_nether_brick_slab,red_nether_brick_slab,null
minecraft:red_nether_brick_stairs,red_nether_brick_stairs,null
minecraft:red_nether_brick_wall,red_nether_brick_wall,null
minecraft:red_nether_bricks,red_nether_bricks,null
minecraft:red_sandstone_wall,red_sandstone_wall,null
minecraft:reinforced_deepslate,reinforced_deepslate,null
minecraft:resin_block,resin_block,null
minecraft:resin_brick,resin_brick,null
minecraft:resin_brick_slab,resin_brick_slab,null
minecraft:resin_brick_stairs,resin_brick_stairs,null
minecraft:resin_brick_wall,resin_brick_wall,null
minecraft:resin_bricks,resin_bricks,null
minecraft:resin_clump,resin_clump,null
minecraft:respawn_anchor,respawn_anchor,null
minecraft:rib_armor_trim_smithing_template,rib_armor_trim_smithing_template,null
minecraft:rooted_dirt,rooted_dirt,null
minecraft:salmon_bucket,salmon_bucket,null
minecraft:salmon_spawn_egg,salmon_spawn_egg,null
minecraft:sandstone_wall,sandstone_wall,null
minecraft:scaffolding,scaffolding,null
minecraft:scrape_pottery_sherd,scrape_pottery_sherd,null
minecraft:sculk,sculk,null
minecraft:sculk_catalyst,sculk_catalyst,null
minecraft:sculk_sensor,sculk_sensor,null
minecraft:sculk_shrieker,sculk_shrieker,null
minecraft:sculk_vein,sculk_vein,null
minecraft:sea_pickle,sea_pickle,null
minecraft:seagrass,seagrass,null
minecraft:sentry_armor_trim_smithing_template,sentry_armor_trim_smithing_template,null
minecraft:shaper_armor_trim_smithing_template,shaper_armor_trim_smithing_template,null
minecraft:sheaf_pottery_sherd,sheaf_pottery_sherd,null
minecraft:shelter_pottery_sherd,shelter_pottery_sherd,null
minecraft:short_dry_grass,short_dry_grass,null
minecraft:short_grass,short_grass,null
minecraft:shroomlight,shroomlight,null
